"Date";"ProductName";"ProductCategory";"ProductSubCategory";"ProductPrice";"CustomerName";"CustomerEmail";"CustomerAddress";"CustomerPhone";"CustomerSegment";"SupplierName";"SupplierLocation";"SupplierContact";"ShipperName";"ShippingMethod";"QuantitySold";"TotalAmount";"DiscountAmount";"NetAmount";"StockReceived";"StockSold";"StockOnHand";"";"";""
"2023-09-14";"Nathaniel";"Electronics";"Camera";"0.01";"Colleen Kelly";"maryhurst@example.org";"\"354 Mcdowell Turnpike";" Port Charles";" CT 95318\"";"908.610.2711x8507";"Silver";"\"Rodriguez";" Winters and Perez\"";"Irwinhaven";"6538306661";"and Sons";"Ground";"49";"31965.15";"121.07";"31844.08";"475";"127";"348"
"2023-02-11";"NonExistentProduct";"Electronics";"Mobile";"847.43";"Joel Wright";"sandersvictoria@example.org";"\"24740 Fox Villages";" New Tracie";" MA 53038\"";"+1-408-938-0389x952";"Gold";"Lawson-Wilkins";"Calderonchester";"";"PLC";"Air";"73";"61862.39";"91.09";"61771.3";"487";"243";"244";""
"2021-11-12";"Angela";"InvalidCategory";"Action Figures";"386.57";"Thomas Sawyer";"ospence@example.net";"\"769 Joe Trail";" East Terri";" CA 43813\"";"001-929-516-1919x39288";"Gold";"Lee-Miller";"South Emilyview";"+1-588-750-7646";"PLC";"Sea";"89";"34404.729999999996";"10.56";"34394.17";"341";"188";"153";""
"11-15-2021";"Amy";"Home & Garden";"Decor";"364.01";"Tyler Gardner";"christopherjohnson@example.com";"\"27783 Olivia Centers";" Williamsmouth";" AL 09809\"";"8907712983";"Gold";"Soto-Rivera";"West Denise";"805-650-6257x5876";"LLC";"Air";"3";"1092.03";"69.06";"1022.97";"500";"124";"376";""
"2023-04-22";"Nathaniel";"Electronics";"Camera";"652.35";"Meagan Peterson";"epowell@example.net";"\"25357 Blackwell Locks";" Andreabury";" MH 27857\"";"9999921886";"Gold";"\"Rodriguez";" Winters and Perez\"";"Irwinhaven";"6538306661";"Ltd";"Sea";"75";"48926.25";"137.17";"48789.08";"429";"351";"78"
"2022-12-08";"NonExistentProduct";"Electronics";"Mobile";"847.43";"Justin Hodge";"";"\"PSC 1552";" Box 7906";" APO AP 50694\"";"001-691-442-5371x97648";"Gold";"Soto-Rivera";"West Denise";"805-650-6257x5876";"Inc";"Ground";"63";"53388.09";"103.22";"53284.869999999995";"79";"61";"18";""
"2023-09-13";"Justin";"Electronics";"Headphones";"66005.0";"Kelly Williams";"philip97@example.com";"\"5881 Shawn Fords Apt. 256";" Martinezbury";" NH 01010\"";"001-275-372-4620";"Silver";"Soto-Rivera";"West Denise";"805-650-6257x5876";"and Sons";"Ground";"39";"25741.949999999997";"104.2";"25637.749999999996";"339";"296";"43";""
"2023-07-19";"NonExistentProduct";"Electronics";"Camera";"652.35";"Natasha Thomas";"rcole@example.org";"\"040 Lopez Crossing Apt. 758";" Victormouth";" RI 51198\"";"998-812-6450x26711";"Silver";"Campos-Murillo";"Lawsontown";"822-222-4939";"Group";"Ground";"60";"39141.0";"121.19";"39019.81";"305";"53";"252";""
"2023-08-20";"Shannon";"Home & Garden";"Gardening Tools";"68.01";"Jessica Sanchez";"";"\"455 Mary Path";" Cobbberg";" PW 26662\"";"972-968-0237x0312";"Gold";"\"Wagner";" Jackson and Holt\"";"Port Sarahview";"+1-362-752-2777x1817";"Inc";"Air";"92";"6256.92";"18.11";"6238.81";"440";"338";"102"
"2023-07-15";"NonExistentProduct";"Home & Garden";"Decor";"364.01";"Nathan Good";"";"\"27534 Jennifer Burgs Suite 449";" West Lauraville";" AK 18548\"";"322.403.9678x196";"Gold";"White and Sons";"West Scott";"288-572-7043";"PLC";"Air";"55";"20020.55";"53.26";"19967.29";"260";"254";"6";""
"09-25-2023";"Martha";"Books";"Fiction";"43310.0";"Sylvia Cunningham";"rjones@example.org";"\"7034 Deanna Parkway";" West Tanyahaven";" HI 13503\"";"426.306.6537x2271";"Gold";"Brown-Miller";"Seanfort";"(502)758-2166";"LLC";"Air";"23";"9961.300000000001";"33.11";"9928.19";"238";"161";"77";""
"2022-05-06";"Justin";"Electronics";"Headphones";"660.05";"Wendy Huff";"paulpeterson@example.org";"\"00227 Carpenter Port";" North Amberberg";" TN 08056\"";"714.240.1813";"Silver";"\"Colon";" Palmer and Welch\"";"Antonioshire";"230-757-6575x898";"and Sons";"Sea";"1";"660.05";"56.28";"603.77";"121";"13";"108"
